Level,Name,Type,Rev,Description,State,U of M,Qty,Item Number,Product Line,General Notes,Legacy Item Number,Project,Usage,Document Usage,parent_name
4,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102817563
4,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102817563
4,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102817563
4,AP927-322,ProE Drawing,AB,LOCK RING GAGE MANDREL,Released,,"=""0.0""",,CPED,,,CPS_COMPLETIONS,,Described By,102817563
2,102036635,Part SLB,AC,"HOUSING, SECONDARY PISTON, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0024""",CP86,,"=""024""",HV Completions - CPU,Uses,,103118246
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102036635
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036635
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102036635
3,102036689,ProE Drawing,AC,"HOUSING, SECONDARY PISTON, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036635
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036635
2,B015283,Screw Machine-Bolt,AC,"SCREW, SKT SET 1/4-20 X 1/4 CUP PT ALLOY STL/45H  ASME B18.3",Released,EA - Each,1.0,"=""0025""",AF85,,"=""025""",CoSeG-Mech,Uses,,103118246
3,100888833,Material Spec,AC,"Steel for Commercial Set Screws, ASTM F912 or ISO 898-5",Released,,"=""0.0""",,!TBD,,,OFS_MATERIALS,,Reference Document,B015283
2,102036650,Part SLB,AB,"COUPLER, HOUSING, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0026""",CP86,,"=""026""",HV Completions - CPU,Uses,,103118246
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036650
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102036650
3,102036701,ProE Drawing,AB,"COUPLER, HOUSING 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036650
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102036650
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036650
2,102803951,Pin,AC,"PIN, COILED SPRING 1/8 X 5/16 CARBON STEEL HVY DUTY, SHEAR VALUE = 1200 +/- 200 LBS",Released,EA - Each,6.0,"=""0027""",CP86,,"=""027""",HV Completions - CPU,Uses,,103118246
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,BAG & TAG,,CPS_QA2,,Reference Document,102803951
3,102834714,Instruction-Procedure,AA,"PROCEDURE, COILED SPRING PIN QUALIFICATION",Released,,"=""0.0""",,CP8D,TEST PROCEDURE,,HV Completions - CPU,,Reference Document,102803951
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102803951
3,102855608,Pin,AA,"PIN, COILED SPRING 1/8 X 5/16 CARBON STEEL HVY DUTY",Released,EA - Each,1.0,"=""0001""",CP86,,"=""001""",HV Completions - CPU,Uses,,102803951
3,102841978,Part SLB,AA,"TEST FIXTURE, FOR COILED SPRING PIN (.125 DIAMETER), 41XX (110)",Released,EA - Each,"=""0.0""","=""0020""",CP87,TEST FIXTURE,20,HV Completions - CPU,Mfg Equipment Process,,102803951
4,102841969,ProE Drawing,AA,"TEST FIXTURE, FOR COILED SPRING PIN (.125 DIAMETER)",Released,,"=""0.0""",,!TBD,,,HV Completions - CPU,,Described By,102841978
4,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102841978
4,CSP-99,Coating Specifications,BB,APPLICATION OF RUST PREVENTATIVES,Released,,"=""0.0""",,CSAD,ENTIRE PART,,MatEng,,Reference Document,102841978
4,102836286,Part SLB,AB,"TEST FIXTURE OUTER SLEEVE, FOR COILED SPRING PIN (.125 DIAMETER), 41XX (110)",Released,EA - Each,1.0,"=""0001""",CP86,,"=""001""",HV Completions - CPU,Uses,,102841978
5,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102836286
5,102836264,ProE Drawing,AA,"TEST FIXTURE OUTER SLEEVE, FOR COILED SPRING PIN (.125 DIAMETER)",Released,,"=""0.0""",,!TBD,,,HV Completions - CPU,,Described By,102836286
5,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102836286
5,MDS-6,Material Specification List,AP,"MDS-6,4130/4140/4145, 110 KSI YS",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102836286
4,102836288,Part SLB,AB,"TEST FIXTURE INNER SLEEVE, FOR COILED SPRING PIN (.125 & .156 DIAMETER), 41XX (110)",Released,EA - Each,1.0,"=""0002""",CP86,,"=""002""",HV Completions - CPU,Uses,,102841978
5,102836265,ProE Drawing,AA,"TEST FIXTURE INNER SLEEVE, FOR COILED SPRING PIN (.125 & .156 DIAMETER)",Released,,"=""0.0""",,!TBD,,,HV Completions - CPU,,Described By,102836288
5,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102836288
5,MDS-6,Material Specification List,AP,"MDS-6,4130/4140/4145, 110 KSI YS",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102836288
5,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102836288
2,102946239,Part SLB,AB,"LOCK RING, SECONDARY BODY, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0028""",CP86,,,HV Completions - CPU,Uses,,103118246
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102946239
3,CHTS-24.40-01,Heat Treat Specifications,AL,"Carbon and Low Alloy Steels, Pre-Heat Treated, Stress Relieve For Machining",Released,,"=""0.0""",,CXXD,HEAT TREAT,,MatEng,,Reference Document,102946239
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102946239
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,TAG AND BAG,,CPS_QA2,,Reference Document,102946239
3,102946240,ProE Drawing,AA,"LOCK RING, SECONDARY BODY, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102946239
3,102822928,Part SLB,AB,"MANDREL, HEAT TREAT, LOCK RING, 4.629 O.D., 41XX (80)",Released,EA - Each,"=""0.0""",8001,CP86,FOR HEAT TREATING,,HV Completions - CPU,Mfg Equipment Process,,102946239
4,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,COAT ENTIRE PART,,OFS_COATINGS,,Reference Document,102822928
4,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102822928
4,AP927-323,ProE Drawing,AB,LOCK RING HEAT TREAT MANDREL,Released,,"=""0.0""",,CPE6,,,CPS_COMPLETIONS,,Described By,102822928
4,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102822928
3,102817561,Part SLB,AB,"MANDREL, GAGE, LOCK RING, 4.716 O.D., 41XX (80)",Released,EA - Each,"=""0.0""",8002,CP86,TO TEST THE CLAMPING FORCE,,HV Completions - CPU,Mfg Equipment Process,,102946239
4,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102817561
4,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102817561
4,AP927-322,ProE Drawing,AB,LOCK RING GAGE MANDREL,Released,,"=""0.0""",,CPED,,,CPS_COMPLETIONS,,Described By,102817561
4,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102817561
2,102722002,Part SLB,AD,"HOUSING, SECONDARY BODY LOCK RING, 7 BluePack ESP, 41XX (110)",Released,EA - Each,1.0,"=""0029""",CP86,,"=""029""",HV Completions - CPU,Uses,,103118246
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102722002
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102722002
3,102722012,ProE Drawing,AC,"HOUSING, SECONDARY BODY LOCK RING, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102722002
3,MDS-6,Material Specification List,AP,"MDS-6,4130/4140/4145, 110 KSI YS",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102722002
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102722002
2,102743365,Part SLB,AB,"CONE, UPPER, 7 BluePack ESP, 41XX (110)",Released,EA - Each,1.0,"=""0030""",CP86,,"=""030""",HV Completions - CPU,Uses,,103118246
3,MDS-6,Material Specification List,AP,"MDS-6,4130/4140/4145, 110 KSI YS",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102743365
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102743365
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102743365
3,102743441,ProE Drawing,AA,"CONE, UPPER, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102743365
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102743365
2,102036624,Part SLB,AC,"HOUSING, SLIP, 7 BluePack ESP (23-26), 41XX (80)",Released,EA - Each,1.0,"=""0031""",CP86,,"=""031""",HV Completions - CPU,Uses,,103118246
3,102036679,ProE Drawing,AB,"HOUSING, SLIP, 7 BluePack ESP (23-26)",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036624
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036624
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102036624
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102036624
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036624
2,102803955,Pin,AC,"PIN, COILED SPRING 5/32 X 7/16 CARBON STEEL HVY DUTY, SHEAR VALUE = 1700 +/- 200 LBS",Released,EA - Each,5.0,"=""0032""",CP86,,"=""032""",HV Completions - CPU,Uses,,103118246
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,BAG & TAG,,CPS_QA2,,Reference Document,102803955
3,102834714,Instruction-Procedure,AA,"PROCEDURE, COILED SPRING PIN QUALIFICATION",Released,,"=""0.0""",,CP8D,TEST PROCEDURE,,HV Completions - CPU,,Reference Document,102803955
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102803955
3,102855609,Pin,AA,"PIN, COILED SPRING 5/32 X 7/16 CARBON STEEL HVY DUTY",Released,EA - Each,1.0,"=""0001""",CP86,,"=""001""",HV Completions - CPU,Uses,,102803955
3,102841977,Part SLB,AA,"TEST FIXTURE, FOR COILED SPRING PIN (.156 DIAMETER), 41XX (110)",Released,EA - Each,"=""0.0""","=""0020""",CP87,TEST FIXTURE,20,HV Completions - CPU,Mfg Equipment Process,,102803955
4,102841968,ProE Drawing,AA,"TEST FIXTURE, FOR COILED SPRING PIN (.156 DIAMETER)",Released,,"=""0.0""",,!TBD,,,HV Completions - CPU,,Described By,102841977
4,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102841977
4,CSP-99,Coating Specifications,BB,APPLICATION OF RUST PREVENTATIVES,Released,,"=""0.0""",,CSAD,ENTIRE PART,,MatEng,,Reference Document,102841977
4,102836285,Part SLB,AB,"TEST FIXTURE OUTER SLEEVE, FOR COILED SPRING PIN (.156 DIAMETER), 41XX (110)",Released,EA - Each,1.0,"=""0001""",CP86,,"=""001""",HV Completions - CPU,Uses,,102841977
5,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102836285
5,MDS-6,Material Specification List,AP,"MDS-6,4130/4140/4145, 110 KSI YS",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102836285
5,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102836285
5,102836263,ProE Drawing,AA,"TEST FIXTURE OUTER SLEEVE, FOR COILED SPRING PIN (.156 DIAMETER)",Released,,"=""0.0""",,!TBD,,,HV Completions - CPU,,Described By,102836285
4,102836288,Part SLB,AB,"TEST FIXTURE INNER SLEEVE, FOR COILED SPRING PIN (.125 & .156 DIAMETER), 41XX (110)",Released,EA - Each,1.0,"=""0002""",CP86,,"=""002""",HV Completions - CPU,Uses,,102841977
5,102836265,ProE Drawing,AA,"TEST FIXTURE INNER SLEEVE, FOR COILED SPRING PIN (.125 & .156 DIAMETER)",Released,,"=""0.0""",,!TBD,,,HV Completions - CPU,,Described By,102836288
5,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102836288
5,MDS-6,Material Specification List,AP,"MDS-6,4130/4140/4145, 110 KSI YS",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102836288
5,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102836288
2,100511888,Screw Machine-Bolt,AB,"SCREW, SKT HD CAP 5/16-18 X 1/4 ALLOY STL/12.9  ASME B18.3",Released,EA - Each,10.0,"=""0033""",AF85,,"=""033""",CoSeG-Mech,Uses,,103118246
3,100715206,Material Spec,AD,"STEEL FOR SOCKET HEAD CAP SCREWS ASTM A574 / ISO 12,9",Released,,"=""0.0""",,CXXD,,,OFS_MATERIALS,,Reference Document,100511888
2,102024260,Part SLB,AD,"SPRING, SLIP, 9-5/8 BluePack ESP, SST",Released,EA - Each,5.0,"=""0034""",CP86,,"=""034""",HV Completions - CPU,Uses,,103118246
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,TAG AND BAG,,CPS_QA2,,Reference Document,102024260
3,102024281,ProE Drawing,AB,"SPRING, SLIP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Reference Document,102024260
2,102036625,Part SLB,AB,"SLIP, 7 BluePack ESP (23-26), 8620",Released,EA - Each,5.0,"=""0035""",CP86,,"=""035""",HV Completions - CPU,Uses,,103118246
3,MDS-11,Material Specification List,AB,"MDS-11, 8620, CARBURIZED",Released,,"=""0.0""",,CPH6,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036625
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102036625
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102036625
3,CHTS-26.13-10,Heat Treat Specifications,AV,Carburizing AISI 8620 Steel With Sacrificial Test Piece,Released,,"=""0.0""",,CPHD,"CARBURIZE TEETH (TOP SURFACE) ONLY, MASK ALL OTHER SURFACES.",,MatEng,,Reference Document,102036625
3,102036680,ProE Drawing,AA,"SLIP, 7 BluePack ESP (23-26)",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036625
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036625
2,102036623,Part SLB,AC,"CONE, LOWER, 7 BluePack ESP, 41XX (110)",Released,EA - Each,1.0,"=""0036""",CP86,,"=""036""",HV Completions - CPU,Uses,,103118246
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102036623
3,102036678,ProE Drawing,AC,"CONE, LOWER, 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036623
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102036623
3,MDS-6,Material Specification List,AP,"MDS-6,4130/4140/4145, 110 KSI YS",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036623
2,101884435,Screw Machine-Bolt,AD,"SCREW, SHEAR, 1/2-13 UNC - 2A X 5/8, BRONZE ALLOY, SHEAR VALUE (LBS) = 6,487 +/-10%",Released,EA - Each,12.0,"=""0037""",CP86,,"=""037""",HV Completions - CPU,Uses,,103118246
3,102714052,ProE Drawing,AB,"SCREW, SHEAR, 1/2-13 UNC - 2A X 5/8",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,101884435
3,CSP-142,General Spec,AM,CSP-142: SHEAR TEST PROCEDURE TO MANUFACTURE SHEAR SCREWS AND PINS,Released,,"=""0.0""",,CPHD,SHEAR TEST,,CPS_COMPLETIONS,,Reference Document,101884435
3,100120488,Material Specification List,AC,"MDS-239, BRONZE ALLOY 675",Released,,"=""0.0""",,GC26,MATERIAL SPECIFICATION,,CPS_QA1,,Reference Document,101884435
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,BAG AND TAG,,CPS_QA2,,Reference Document,101884435
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,101884435
2,102036648,Part SLB,AC,"RING, LOWER GAGE, 7 BluePack ESP (23-26), 41XX (80)",Released,EA - Each,1.0,"=""0038""",CP86,,"=""038""",HV Completions - CPU,Uses,,103118246
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036648
3,102036699,ProE Drawing,AB,"RING, LOWER GAGE, 7 BluePack ESP (23-26)",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036648
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102036648
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102036648
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036648
2,102036649,Part SLB,AB,"RING, SPILT, 7 BluePack ESP, 41XX (80)",Released,EA - Each,1.0,"=""0039""",CP86,,"=""039""",HV Completions - CPU,Uses,,103118246
3,102036700,ProE Drawing,AA,"RING, SPILT 7 BluePack ESP",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102036649
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,102036649
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,"=""0.0""",,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document,102036649
3,MDS-4,Material Specification List,AH,"MDS-4, 4130/4140/4145, L80 TYPE 1 EQUIVALENT",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102036649
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102036649
2,102743352,Part SLB,AB,"RING, CONTOURED BACK-UP, #237 O-RING ROD SEAL, 3.5485 X 3.3255",Released,EA - Each,2.0,"=""0040""",CP86,,"=""040""",HV Completions - CPU,Uses,,103118246
3,CNMS-P4000,Elastomer and Plastic Specifications,AY,Glass Filled PEEK (Polyetheretherketone Polymer),Released,,"=""0.0""",,CPHD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,102743352
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,TAG AND BAG,,CPS_QA2,,Reference Document,102743352
3,102743428,ProE Drawing,AA,"RING, CONTOURED BACK-UP, #237 O-RING ROD SEAL, 3.5485 X 3.3255",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,102743352
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,102743352
2,B034693,Seal-O-Ring-Quad-Ring-Etc.,AE,"O-RING, SZ 237, 3.359 ID X 0.139 W, AFLAS-90",Released,EA - Each,1.0,"=""0041""",WU35,,"=""041""",REDA_PUMPS,Uses,,103118246
3,100753768,Elastomer and Plastic Specifications,AB,"O-ring,  Aflas,  90 Durometer,  Seals Eastern, 7182B,  Unified specification",Released,,"=""0.0""",,CXXD,,,OFS_MATERIALS,,Reference Document,B034693
3,102924434,Instruction-Procedure,AC,RTST and RPS Supplier Requirements Document,Released,,"=""0.0""",,TT5D,,,QUALITY-SPT,,Reference Document,B034693
2,103127487,Part SLB,AA,"SUB, BOTTOM, 7 BluePack-MP-SPR (23-32), 718 (120), 3-1/2 (9.2) VAM TOP BOX, 8 X 1/4 NPT",Review,EA - Each,1.0,"=""0042""",CP86,,,HV Completions - CPU,Uses,,103118246
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,"=""0.0""",,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document,103127487
3,102933127,ProE Drawing,AB,"SUB, BOTTOM, 7 X 3-1/2 BluePack MP (23-32)",Released,,"=""0.0""",,CP8D,,,HV Completions - CPU,,Described By,103127487
3,CSP-70,Coating Specifications,BC,"Process Application of Friction Reducing Film, Xylan 1425 - Unified Spec",Released,,"=""0.0""",,CSAD,"FLAG 70, STUB ACME THREAD, OVERSPRAY ALLOWED",,OFS_COATINGS,,Reference Document,103127487
3,CSP-83,Coating Specifications,BC,Connection Coatings For CAM-P And Premium Threads,Released,,"=""0.0""",,CXXD,"FLAG 83, PREMIUM THREAD ONLY",,MatEng,,Reference Document,103127487
3,MDS-34,Material Specification List,AK,"718, 120 KSI MIN YS",Released,,"=""0.0""",,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document,103127487
3,103092000,Instruction-Procedure,AB,COMPLETIONS SUPPLIER REQUIREMENTS,Released,,"=""0.0""",,CXXD,,,CLG_SUPPLY_CHAIN,,Reference Document,103127487
2,B003797,Screw Machine-Bolt,AC,"SCREW, SKT SET 1/4-20 X 3/8 CUP PT ALLOY STL/45H  ASME B18.3",Released,EA - Each,1.0,"=""0043""",AF85,,"=""043""",CoSeG-Mech,Uses,,103118246
3,100888833,Material Spec,AC,"Steel for Commercial Set Screws, ASTM F912 or ISO 898-5",Released,,"=""0.0""",,!TBD,,,OFS_MATERIALS,,Reference Document,B003797
2,44326-005-00001,Part SLB,AC,"FITTING,1/4 NMPT X 1/4 SWAGELOK (NO.SS-400-1-4BT)",Released,EA - Each,16.0,"=""0044""",CSA6,,"=""044""",ACG_PACKER_DEV,Uses,,103118246
