Part SLB 101706021 AC: Engineering Bill of Materials,,,,,,,,,,,,,,
, , , , , , , , , , , , ,EBOM Values,Specification Values
2,100147544,Part SLB,AG,"CONE, UPPER, 7 X 4.000 QUANTUM MAX (32-35), 41XX (110)",Released,EA - Each,1,012,CPE6,,,CPS_COMPLETIONS,Uses,
3,MDS-204,Material Specification List,AG,"MDS-204, 4140/4145, 110 KSI",Released,,0.0,,CSA5,MATERIAL SPECIFICATION,,MatEng,,Reference Document
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document
3,CSP-28,Coating Specifications,AM,Glass Bead Peening,Released,,0.0,,CXXD,"FLAG 28, STUB ACME THREADS, OVERSPRAY ALLOWED",,MatEng,,Reference Document
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,0.0,,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document
3,100147544D,ProE Drawing,AF,"CONE, UPPER, 7 X 4.000 QUANTUM MAX (32-35)",Released,,0.0,,CPED,,,CPS_COMPLETIONS,,Described By
2,101088399,Part SLB,AA,"SCREW, SHEAR, BARREL SLIP, 1/4-28 UNF-2A X .400, 4130/4140 (80), SHEAR VALUE 2,375 +/- 375 LBS",Released,EA - Each,8,013,CPH6,,,CPS_COMPLETIONS,Uses,
3,CSP-142,General Spec,AM,CSP-142: SHEAR TEST PROCEDURE TO MANUFACTURE SHEAR SCREWS AND PINS,Released,,0.0,,CPHD,SHEAR TEST,,CPS_COMPLETIONS,,Reference Document
3,69110-020,ProE Drawing,BA,"SCREW, SHEAR, BARREL SLIP, 1/4-28 UNF-2A",Released,,0.0,,CPHD,,,CPS_COMPLETIONS,,Described By
3,MDS-1,Material Specification List,AJ,"MDS-1, 4130/4140/4145 80 KSI  22 HRC MAX",Released,,0.0,,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,TAG & BAG,,CPS_QA2,,Reference Document
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,0.0,,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document
2,100151078,Part SLB,AM,"SLIP, BARREL, 7 X 4.000 QUANTUM MAX (32-35), 4340 (125)",Released,EA - Each,1,014,CPE6,,,CPS_COMPLETIONS,Uses,
3,CSP-86,Coating Specifications,AU,Ion Nitriding of Low Alloy and Stainless Steels,Released,,0.0,,CXXD,"APPLY TO TEETH SURFACES ONLY, MASK ALL REMAINING SURFACES",,OFS_COATINGS,,Reference Document
3,100151078D,ProE Drawing,AK,"SLIP, BARREL, 7 X 4.000 QUANTUM MAX (32-35)",Released,,0.0,,CPED,,,CPS_COMPLETIONS,,Described By
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,0.0,,CSAD,"ENTIRE PART, LEAVE TEETH SHARP DURING BEAD BLASTING FOR PARKERIZING",,OFS_COATINGS,,Reference Document
3,NDE-22,Instruction-Procedure,BA,NDE-22; CONTINUOUS WET FLORESCENT MAGNETIC PARTICLE INSPECTION,Released,,0.0,,CPHD,AFTER MILLING OF SLOTS,,CPS_QANDE,,Reference Document
3,MDS-214,Material Specification List,AB,"MDS-214, 4340, 125 KSI MIN YS",Released,,0.0,,CPH6,MATERIAL SPECIFICATION,,MatEng,,Reference Document
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document
3,102707696,Instruction-Procedure,AA,BARREL SLIP MANUFACTURING PROCESS MAP,Released,,0.0,,CPVD,MANUFACTURE PROCESS MAP,,CPS_COMPLETIONS,,Reference Document
2,100957754,Part SLB,AB,"SCREW, SHEAR, BARREL SLIP, 10-32 UNF-2A X .385, 4130/4140/4145 (80), SHEAR VALUE 1,250 +/- 250 LBS",Released,EA - Each,8,015,CPH6,,,CPS_COMPLETIONS,Uses,
3,69162-011,ProE Drawing,AW,"SCREW, SHEAR, BARREL SLIP, 10-32 UNF-2A",Released,,0.0,,CPHD,,,CPS_COMPLETIONS,,Described By
3,CSP-142,General Spec,AM,CSP-142: SHEAR TEST PROCEDURE TO MANUFACTURE SHEAR SCREWS AND PINS,Released,,0.0,,CPHD,SHEAR TEST,,CPS_COMPLETIONS,,Reference Document
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,0.0,,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document
3,MDS-1,Material Specification List,AJ,"MDS-1, 4130/4140/4145 80 KSI  22 HRC MAX",Released,,0.0,,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,BAG AND TAG,,CPS_QA2,,Reference Document
2,100147559,Part SLB,AD,"CONE, LOWER, 7 X 4.000 QMAX (32-35), 41XX (110)",Released,EA - Each,1,016,CPA6,,,CPS_COMPLETIONS,Uses,
3,CSP-28,Coating Specifications,AM,Glass Bead Peening,Released,,0.0,,CXXD,"FLAG 28,  STUB ACME THREAD, NO OVERSPRAY ALLOWED",,MatEng,,Reference Document
3,MDS-204,Material Specification List,AG,"MDS-204, 4140/4145, 110 KSI",Released,,0.0,,CSA5,MATERIAL SPECIFICATION,,MatEng,,Reference Document
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,0.0,,CSAD,ENTIRE PART,,OFS_COATINGS,,Reference Document
3,100147559D,ProE Drawing,AD,"CONE, LOWER, 7 X 4.000 QMAX (32-35)",Released,,0.0,,CPHD,,,CPS_COMPLETIONS,,Described By
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document
2,101119469,Part SLB,AB,"CONNECTOR, TAIL HOUSING, 7 X 4.000 QUANTUM MAX, SUPER 13CR (110)",Released,EA - Each,1,017,CPE6,,,CPS_COMPLETIONS,Uses,
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document
3,CSP-70,Coating Specifications,BC,"Process Application of Friction Reducing Film, Xylan 1425 - Unified Spec",Released,,0.0,,CSAD,"FLAG 70, STUB ACME THREADS & 5.1175 ID SURFACES, OVERSPRAY ALLOWED.",,OFS_COATINGS,,Reference Document
3,MDS-175,Material Specification List,AE,"Super 13Cr, 110 Min YS",Released,,0.0,,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document
3,100249432D,ProE Drawing,AF,"CONNECTOR, TAIL HOUSING, 7 X 4.000 QUANTUM MAX",Released,,0.0,,CPAD,,,CPS_COMPLETIONS,,Described By
2,100315553,Part SLB,AA,"BACK-UP RING, 5.115 BORE, CONTOURED, O-RING #351",Released,EA - Each,4,018,CPA6,,,CPS_COMPLETIONS,Uses,
3,CNMS-P4000,Elastomer and Plastic Specifications,AY,Glass Filled PEEK (Polyetheretherketone Polymer),Released,,0.0,,CPHD,,,MatEng,,Reference Document
3,18929-999,ProE Drawing,AK,CONTOURED BACK-UP RING (BORE SEAL),Released,,0.0,,!TBD,,,MatEng,,Described By
2,16965-351-07000,Part SLB,00,O-RING #351,Released,EA - Each,2,019,5999,,,CAMCO_LOAD,Uses,
3,16965E-351-07000,Special Function Documents,AA,ENGINEERING NOTES FOR 16965-351-07000,Released,,0.0,,CPH6,HIDDEN DATA,,CAMCO_LOAD,,Reference Document
3,CNMS-E3100,Elastomer and Plastic Specifications,AL,"O-Ring, Aflas, 90 Durometer",Released,,0.0,,CPHD,MATERIAL SPECIFICATION,,MatEng,,Reference Document
3,16965-351,Document SLB,#NAME?,O-RING #351,Released,,0.0,,CPHE,,,CAMCO_LOAD,,Described By
2,101119470,Part SLB,AA,"COLLET, 7 X 4.000 QUANTUM MAX, SUPER 13CR (110)",Released,EA - Each,1,020,CPE6,,,CPS_COMPLETIONS,Uses,
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document
3,100249434D,ProE Drawing,AF,"COLLET, 7 X 4.000 QUANTUM MAX",Released,,0.0,,CPED,,,CPS_COMPLETIONS,,Described By
3,MDS-175,Material Specification List,AE,"Super 13Cr, 110 Min YS",Released,,0.0,,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document
3,CSP-70,Coating Specifications,BC,"Process Application of Friction Reducing Film, Xylan 1425 - Unified Spec",Released,,0.0,,CSAD,"FLAG 70, ENTIRE OD AND BUTTRESS THREADS, OVERSPRAY ALLOWED",,OFS_COATINGS,,Reference Document
2,101119471,Part SLB,AB,"SLEEVE, RELEASE, 7 X 4.000 QUANTUM MAX, SUPER 13CR (110)",Released,EA - Each,1,022,CPE6,,,CPS_COMPLETIONS,Uses,
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document
3,100249435D,ProE Drawing,AE,"SLEEVE, RELEASE, 7 X 4.000 QUANTUM MAX",Released,,0.0,,CPAD,,,CPS_COMPLETIONS,,Described By
3,MDS-175,Material Specification List,AE,"Super 13Cr, 110 Min YS",Released,,0.0,,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document
3,CSP-70,Coating Specifications,BC,"Process Application of Friction Reducing Film, Xylan 1425 - Unified Spec",Released,,0.0,,CSAD,COAT ENTIRE PART,,OFS_COATINGS,,Reference Document
2,AP100-029-00001,Part SLB,AF,"SCREW, SHEAR, 5/16-24 UNF-2A X .312 LONG, 675 Mn BRONZE (60), SHEAR VALUE (LBS) = 2000",Released,EA - Each,10,023,CPH6,SHEAR SCREW,,CPS_COMPLETIONS,Uses,
3,CSP-142,General Spec,AM,CSP-142: SHEAR TEST PROCEDURE TO MANUFACTURE SHEAR SCREWS AND PINS,Released,,0.0,,CPHD,SHEAR SCREW AND SHEAR PIN MANUFACTURE & TESTING REQUIREMENTS,,CPS_COMPLETIONS,,Reference Document
3,100120488,Material Specification List,AC,"MDS-239, BRONZE ALLOY 675",Released,,0.0,,GC26,MATERIAL SPECIFICATION,,CPS_QA1,,Reference Document
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,BAG AND TAG,,CPS_QA2,,Reference Document
3,AP100-029,ProE Drawing,AH,"SCREW, SHEAR, 5/16-24 UNF-2A X .312 LONG",Released,,0.0,,CPHD,,,CPS_COMPLETIONS,,Described By
2,100147596,Part,AB,"RING, BOTTOM GAUGE, 7 X 4.000 QMAX (32-35), 4130/4140 (80)",Released,EA - Each,1,024,CPA6,,,CPS_COMPLETIONS,Uses,
3,MDS-1,Material Specification List,AJ,"MDS-1, 4130/4140/4145 80 KSI  22 HRC MAX",Released,,0.0,,CXXD,,,MatEng,,Reference Document
3,100147596D,ProE Drawing,AB,"RING, BOTTOM GAUGE, 7  X 4.000 QMAX (32-35) ",Released,,0.0,,CPH6,,,CPS_COMPLETIONS,,Described By
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,0.0,,CSAD,,,OFS_COATINGS,,Reference Document
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,,,CPS_QA2,,Reference Document
2,101119472,Part SLB,AD,"SUB, BOTTOM, 7 X 4.000 QUANTUM MAX, SUPER 13CR (110)",Released,EA - Each,1,026,CPE6,,,CPS_COMPLETIONS,Uses,
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,"FLAG 1, STAMP",,CPS_QA2,,Reference Document
3,CSP-70,Coating Specifications,BC,"Process Application of Friction Reducing Film, Xylan 1425 - Unified Spec",Released,,0.0,,CSAD,"FLAG 70, 5.250-8 STUB ACME THREAD AND 3.250 LENGTH DIMENSION, MASK O-RING GROOVES AND 63 FINISH SURFACES, OVERSPRAY ALLOWED ELSEWHERE",,OFS_COATINGS,,Reference Document
3,MDS-175,Material Specification List,AE,"Super 13Cr, 110 Min YS",Released,,0.0,,CXXD,MATERIAL SPECIFICATION,,MatEng,,Reference Document
3,100304618D,ProE Drawing,AG,"SUB, BOTTOM, 7 X 4.000 QUANTUM MAX",Released,,0.0,,CPED,,,CPS_COMPLETIONS,,Described By
3,CSP-99,Coating Specifications,BB,APPLICATION OF RUST PREVENTATIVES,Released,,0.0,,CSAD,COAT PER CSP-99 ON THE SEAL BORES DEPENDING ON THE ENVIRONMENTAL STORAGE DURATION AND SHIPPING CONDITIONS.THE COATING IS AT THE DISCRETION OF THE RESPECTIVE MANUFACTURING CENTER ENSURING THE PART/ASSEMBLY IS NOT DAMAGED DUE TO NOT COATING THE SEAL BORES WITH CSP-99,,MatEng,,Reference Document
2,100147616,Part SLB,AD,"RING, PICK-UP, 7 X 4.000 QUANTUM MAX, 4140/4145 (110)",Released,EA - Each,1,027,CPE6,,,CPS_COMPLETIONS,Uses,
3,MDS-204,Material Specification List,AG,"MDS-204, 4140/4145, 110 KSI",Released,,0.0,,CSA5,MATERIAL SPECIFICATION,,MatEng,,Reference Document
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,BAG & TAG,,CPS_QA2,,Reference Document
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,0.0,,CSAD,COAT ENTIRE PART,,OFS_COATINGS,,Reference Document
3,100147616D,ProE Drawing,AF,"RING, PICK-UP, 7 X 4.000 QUANTUM MAX",Released,,0.0,,CPED,,,CPS_COMPLETIONS,,Described By
3,CHTS-24.40-01,Heat Treat Specifications,AL,"Carbon and Low Alloy Steels, Pre-Heat Treated, Stress Relieve For Machining",Released,,0.0,,CXXD,STRESS RELIEVE PRIOR TO SPLITTING ,,MatEng,,Reference Document
2,B015191,Screw Machine-Bolt,AA,"SCREW,HEX HD   1/2 -13 X 1  1/2  STL ZC     SAE GRADE 5",Released,EA - Each,1,029,WXL5,SHIPPING BOLT,,CoSeG-Mech,Uses,
2,18929-999-00019,Part SLB,00,CONTOURED BACK-UP RING (BORE SEAL) F/ O-RING #246,Released,EA - Each,2,030,CPG5,,,ACG_PACKER_DEV,Uses,
3,CNMS-P4000,Elastomer and Plastic Specifications,AY,Glass Filled PEEK (Polyetheretherketone Polymer),Released,,0.0,,CPHD,,,MatEng,,Reference Document
3,18929-999,ProE Drawing,AK,CONTOURED BACK-UP RING (BORE SEAL),Released,,1,,!TBD,,,MatEng,,Described By
2,B036144,Screw Machine-Bolt,AA,"SCREW, SOC HD, #8-32 X 5/16 LG, ALLOY STL",Released,EA - Each,1,031,CPA5,,,MWD_IMPULSE,Uses,
2,100147860,Part,AB,"KEY, SLIP, 7 X 4.000 QMAX, 4130/4140 (80)",Released,EA - Each,1,032,CPA6,,,CPS_COMPLETIONS,Uses,
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,0.0,,CSAD,,,OFS_COATINGS,,Reference Document
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,,,CPS_QA2,,Reference Document
3,MDS-1,Material Specification List,AJ,"MDS-1, 4130/4140/4145 80 KSI  22 HRC MAX",Released,,0.0,,CXXD,,,MatEng,,Reference Document
3,100147860D,ProE Drawing,AB,"KEY, SLIP, 7 X 4.000 QMAX",Released,,0.0,,CPH6,,,CPS_COMPLETIONS,,Described By
2,16965-246-07000,Part SLB,01,O-RING #246,Released,EA - Each,1,033,CPG5,,,CPS_COMPLETIONS,Uses,
3,CNMS-E3100,Elastomer and Plastic Specifications,AL,"O-Ring, Aflas, 90 Durometer",Released,,0.0,,CPHD,MATERIAL SPECIFICATION,,MatEng,,Reference Document
3,16965-ORG,Document SLB,AA,AFLAS O-RING,Released,,0.0,,CPH6,,,CPS_COMPLETIONS,,Described By
2,B022562,Plain Washer,AA,"WASHER,1/2  PLAIN          STL          .53  X 1.12 X .12",Released,EA - Each,1,034,WK15,SHIPPING BOLT,,GENERAL,Uses,
2,B015017,Nut Lock-Non Lock,AA,"NUT,REG HEX         1/2 -13 STL CD W/CR",Released,EA - Each,1,035,WXL5,SHIPPING BOLT,,CoSeG-Mech,Uses,
3,102924434,Instruction-Procedure,AC,RTST and RPS Supplier Requirements Document,Released,,0.0,,TT5D,,,QUALITY-SPT,,Reference Document
2,100147649,Part,AB,"WASHER, SUPPORT, 7  X 4.000 QMAX 4130/4140 (80)",Released,EA - Each,1,038,CPA6,,,CPS_COMPLETIONS,Uses,
3,CSP-16,Coating Specifications,BG,Zinc Phosphate for Low Alloy Steel and Carbon Steel - Unified Spec,Released,,0.0,,CSAD,,,OFS_COATINGS,,Reference Document
3,MDS-1,Material Specification List,AJ,"MDS-1, 4130/4140/4145 80 KSI  22 HRC MAX",Released,,0.0,,CXXD,,,MatEng,,Reference Document
3,MN-15,Instruction-Procedure,AZ,PRODUCT IDENTIFICATION,Released,,0.0,,CAAD,,,CPS_QA2,,Reference Document
3,100147649D,ProE Drawing,AB,"WASHER, SUPPORT, 7 X 4.000 QMAX",Released,,0.0,,CPH6,,,CPS_COMPLETIONS,,Described By
